r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
8.371356129646301270e-01,8.371356129646301270e-01,4.388859570026397705e-01,5.315348505973815918e-01,6.467391490936279297e+00,7.599999904632568359e+00,0.000000000000000000e+00,8.780000000000000000e+02,9.000000000000000000e+00,8.780000000000000000e+02,9.000000000000000000e+00,7.931586503982543945e-01,7.065275907516479492e-01,9.079999923706054688e-01,0.000000000000000000e+00,4.697537422180175781e-01,8.492378234863281250e+00
8.371356129646301270e-01,5.058600306510925293e-01,4.309062957763671875e-01,4.808463454246520996e-01,6.311828136444091797e+00,5.400000095367431641e+00,0.000000000000000000e+00,8.700000000000000000e+02,8.000000000000000000e+00,8.160000000000000000e+02,6.000000000000000000e+00,7.932569384574890137e-01,7.048048973083496094e-01,9.070000052452087402e-01,0.000000000000000000e+00,4.524444639682769775e-01,1.332063102722167969e+01
8.371356129646301270e-01,4.824174642562866211e-01,4.268021583557128906e-01,4.492269754409790039e-01,6.926829338073730469e+00,9.000000000000000000e+00,0.000000000000000000e+00,8.760000000000000000e+02,1.100000000000000000e+01,8.200000000000000000e+02,7.000000000000000000e+00,7.932943701744079590e-01,7.201781272888183594e-01,9.179999828338623047e-01,0.000000000000000000e+00,4.336150884628295898e-01,1.831462097167968750e+01
8.371356129646301270e-01,5.065610408782958984e-01,4.317783117294311523e-01,4.942174255847930908e-01,6.366336822509765625e+00,6.300000190734863281e+00,0.000000000000000000e+00,8.650000000000000000e+02,6.000000000000000000e+00,7.940000000000000000e+02,4.000000000000000000e+00,7.933354973793029785e-01,7.046288847923278809e-01,8.989999890327453613e-01,0.000000000000000000e+00,4.595392644405364990e-01,2.287630462646484375e+01
9.190164208412170410e-01,9.190164208412170410e-01,4.367989599704742432e-01,5.275133848190307617e-01,6.869565010070800781e+00,8.100000381469726562e+00,0.000000000000000000e+00,8.740000000000000000e+02,1.000000000000000000e+01,7.950000000000000000e+02,6.000000000000000000e+00,7.922359108924865723e-01,7.082276344299316406e-01,9.079999923706054688e-01,0.000000000000000000e+00,4.510857164859771729e-01,2.761969375610351562e+01
9.190164208412170410e-01,5.180639624595642090e-01,4.304324388504028320e-01,4.909885227680206299e-01,6.720720767974853516e+00,6.800000190734863281e+00,0.000000000000000000e+00,8.540000000000000000e+02,8.000000000000000000e+00,7.700000000000000000e+02,6.000000000000000000e+00,7.902703881263732910e-01,6.872870326042175293e-01,8.889999985694885254e-01,0.000000000000000000e+00,4.565701484680175781e-01,3.242698287963867188e+01
9.190164208412170410e-01,5.180639624595642090e-01,4.334473907947540283e-01,4.907146096229553223e-01,6.428571224212646484e+00,6.400000095367431641e+00,0.000000000000000000e+00,8.590000000000000000e+02,9.000000000000000000e+00,7.720000000000000000e+02,5.000000000000000000e+00,7.889922261238098145e-01,6.978241205215454102e-01,9.020000100135803223e-01,0.000000000000000000e+00,4.646402299404144287e-01,3.760667419433593750e+01
9.190164208412170410e-01,5.180639624595642090e-01,4.343062937259674072e-01,5.038688778877258301e-01,7.616000175476074219e+00,6.599999904632568359e+00,0.000000000000000000e+00,8.640000000000000000e+02,7.000000000000000000e+00,7.660000000000000000e+02,5.000000000000000000e+00,7.854274511337280273e-01,6.831827163696289062e-01,8.750000000000000000e-01,0.000000000000000000e+00,4.950000047683715820e-01,4.230214309692382812e+01
9.190164208412170410e-01,5.385312438011169434e-01,4.367532134056091309e-01,5.063883662223815918e-01,6.284553050994873047e+00,5.500000000000000000e+00,0.000000000000000000e+00,8.710000000000000000e+02,6.000000000000000000e+00,7.490000000000000000e+02,3.000000000000000000e+00,7.815088629722595215e-01,6.881521344184875488e-01,8.769999742507934570e-01,0.000000000000000000e+00,4.947743713855743408e-01,4.700959014892578125e+01
9.190164208412170410e-01,8.545435667037963867e-01,4.393497705459594727e-01,5.396413803100585938e-01,6.798319339752197266e+00,8.199999809265136719e+00,0.000000000000000000e+00,8.350000000000000000e+02,7.000000000000000000e+00,7.340000000000000000e+02,6.000000000000000000e+00,7.741361260414123535e-01,6.889944672584533691e-01,8.809999823570251465e-01,0.000000000000000000e+00,4.950000047683715820e-01,5.180789184570312500e+01
