r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
8.621404767036437988e-01,8.621404767036437988e-01,4.308475852012634277e-01,5.775941014289855957e-01,6.528957366943359375e+00,8.399999618530273438e+00,0.000000000000000000e+00,8.780000000000000000e+02,8.000000000000000000e+00,8.780000000000000000e+02,8.000000000000000000e+00,7.931586503982543945e-01,7.146053314208984375e-01,7.409999966621398926e-01,0.000000000000000000e+00,4.987598061561584473e-01,1.366607856750488281e+01
8.621404767036437988e-01,5.478382110595703125e-01,4.288746118545532227e-01,5.110518336296081543e-01,6.558052539825439453e+00,1.180000019073486328e+01,0.000000000000000000e+00,8.700000000000000000e+02,8.000000000000000000e+00,8.160000000000000000e+02,7.000000000000000000e+00,7.933860421180725098e-01,7.103961706161499023e-01,7.329999804496765137e-01,0.000000000000000000e+00,4.912770986557006836e-01,2.440085792541503906e+01
8.621404767036437988e-01,4.997074007987976074e-01,4.250745773315429688e-01,4.807528853416442871e-01,6.489959716796875000e+00,1.489999961853027344e+01,0.000000000000000000e+00,8.770000000000000000e+02,1.000000000000000000e+01,8.230000000000000000e+02,1.000000000000000000e+01,7.936172485351562500e-01,7.154800891876220703e-01,7.509999871253967285e-01,0.000000000000000000e+00,4.629313349723815918e-01,3.480017471313476562e+01
8.621404767036437988e-01,7.741032242774963379e-01,4.292489886283874512e-01,5.502781867980957031e-01,6.552346706390380859e+00,9.800000190734863281e+00,0.000000000000000000e+00,8.640000000000000000e+02,6.000000000000000000e+00,7.900000000000000000e+02,4.000000000000000000e+00,7.937754988670349121e-01,7.065767645835876465e-01,7.229999899864196777e-01,0.000000000000000000e+00,4.987598061561584473e-01,4.566674423217773438e+01
8.702602386474609375e-01,8.702602386474609375e-01,4.264147579669952393e-01,5.989714264869689941e-01,6.897526264190673828e+00,8.500000000000000000e+00,0.000000000000000000e+00,8.750000000000000000e+02,1.000000000000000000e+01,7.940000000000000000e+02,7.000000000000000000e+00,7.930616736412048340e-01,7.039986252784729004e-01,7.170000076293945312e-01,0.000000000000000000e+00,4.987598061561584473e-01,5.655327987670898438e+01
8.702602386474609375e-01,8.530135750770568848e-01,4.235602617263793945e-01,5.116587877273559570e-01,6.447457790374755859e+00,7.727272510528564453e+00,0.000000000000000000e+00,8.560000000000000000e+02,1.000000000000000000e+01,7.740000000000000000e+02,6.000000000000000000e+00,7.915408611297607422e-01,7.037458419799804688e-01,7.049999833106994629e-01,0.000000000000000000e+00,4.626950323581695557e-01,6.701050567626953125e+01
8.702602386474609375e-01,8.580797314643859863e-01,4.325598180294036865e-01,6.170046925544738770e-01,6.971731662750244141e+00,1.050000000000000000e+01,0.000000000000000000e+00,8.640000000000000000e+02,9.000000000000000000e+00,7.720000000000000000e+02,6.000000000000000000e+00,7.909930944442749023e-01,6.956737041473388672e-01,7.170000076293945312e-01,0.000000000000000000e+00,4.987598359584808350e-01,7.804879760742187500e+01
8.702602386474609375e-01,5.148380398750305176e-01,4.291677474975585938e-01,5.064947605133056641e-01,7.122448921203613281e+00,8.500000000000000000e+00,0.000000000000000000e+00,8.630000000000000000e+02,8.000000000000000000e+00,7.670000000000000000e+02,5.000000000000000000e+00,7.875337004661560059e-01,7.013717293739318848e-01,7.059999704360961914e-01,0.000000000000000000e+00,4.978615343570709229e-01,8.962921905517578125e+01
8.702602386474609375e-01,8.588745594024658203e-01,4.357168674468994141e-01,6.291189193725585938e-01,7.365269660949707031e+00,1.089999961853027344e+01,0.000000000000000000e+00,8.850000000000000000e+02,8.000000000000000000e+00,7.630000000000000000e+02,6.000000000000000000e+00,7.829376459121704102e-01,6.972351670265197754e-01,6.660000085830688477e-01,0.000000000000000000e+00,5.123035311698913574e-01,1.015331268310546875e+02
8.702602386474609375e-01,8.666566610336303711e-01,4.337093234062194824e-01,7.118837237358093262e-01,6.569078922271728516e+00,1.060000038146972656e+01,0.000000000000000000e+00,8.430000000000000000e+02,8.000000000000000000e+00,7.450000000000000000e+02,6.000000000000000000e+00,7.745853066444396973e-01,6.893913745880126953e-01,6.959999799728393555e-01,0.000000000000000000e+00,5.123035311698913574e-01,1.131365127563476562e+02
