r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
9.466140270233154297e-01,9.466140270233154297e-01,4.659906029701232910e-01,9.387345314025878906e-01,7.637784004211425781e+00,1.600000000000000000e+01,0.000000000000000000e+00,7.510000000000000000e+02,1.200000000000000000e+01,7.510000000000000000e+02,1.200000000000000000e+01,8.440429717302322388e-02,7.079438120126724243e-02,2.960000038146972656e-01,0.000000000000000000e+00,9.347560405731201172e-01,1.107623195648193359e+01
9.466140270233154297e-01,9.413654208183288574e-01,4.687246382236480713e-01,9.388694763183593750e-01,7.711237430572509766e+00,1.372727298736572266e+01,0.000000000000000000e+00,7.520000000000000000e+02,1.100000000000000000e+01,6.720000000000000000e+02,1.100000000000000000e+01,8.564473688602447510e-02,6.737582385540008545e-02,2.969999909400939941e-01,0.000000000000000000e+00,9.366444349288940430e-01,2.130382537841796875e+01
9.466140270233154297e-01,9.440430998802185059e-01,4.655690491199493408e-01,9.404838085174560547e-01,7.454941749572753906e+00,1.039999961853027344e+01,0.000000000000000000e+00,7.440000000000000000e+02,1.000000000000000000e+01,6.340000000000000000e+02,1.000000000000000000e+01,8.686133474111557007e-02,5.394723638892173767e-02,3.120000064373016357e-01,0.000000000000000000e+00,9.374253153800964355e-01,3.142159461975097656e+01
9.466140270233154297e-01,9.459445476531982422e-01,4.680503904819488525e-01,9.405958652496337891e-01,7.725852489471435547e+00,1.230000019073486328e+01,0.000000000000000000e+00,7.620000000000000000e+02,1.000000000000000000e+01,6.300000000000000000e+02,1.000000000000000000e+01,8.833093196153640747e-02,6.473663449287414551e-02,2.960000038146972656e-01,0.000000000000000000e+00,9.385328292846679688e-01,4.164519500732421875e+01
9.466140270233154297e-01,9.413654208183288574e-01,4.675256311893463135e-01,9.390538334846496582e-01,7.638360023498535156e+00,1.239999961853027344e+01,0.000000000000000000e+00,7.690000000000000000e+02,1.000000000000000000e+01,6.420000000000000000e+02,1.000000000000000000e+01,9.096395224332809448e-02,6.116683036088943481e-02,3.170000016689300537e-01,0.000000000000000000e+00,9.366444349288940430e-01,5.173401260375976562e+01
9.475682973861694336e-01,9.475682973861694336e-01,4.662584662437438965e-01,9.404433369636535645e-01,7.715542316436767578e+00,1.519999980926513672e+01,0.000000000000000000e+00,7.760000000000000000e+02,1.000000000000000000e+01,6.260000000000000000e+02,1.000000000000000000e+01,9.277855604887008667e-02,7.570225745439529419e-02,3.179999887943267822e-01,0.000000000000000000e+00,9.357002377510070801e-01,6.150733184814453125e+01
9.475682973861694336e-01,9.466140270233154297e-01,4.630382955074310303e-01,9.403818249702453613e-01,7.589259624481201172e+00,1.319999980926513672e+01,0.000000000000000000e+00,7.600000000000000000e+02,1.000000000000000000e+01,5.970000000000000000e+02,8.000000000000000000e+00,9.517609328031539917e-02,7.258246093988418579e-02,3.109999895095825195e-01,0.000000000000000000e+00,9.357002377510070801e-01,7.143241119384765625e+01
9.508525729179382324e-01,9.508525729179382324e-01,4.752738773822784424e-01,9.450358748435974121e-01,7.988286972045898438e+00,1.339999961853027344e+01,0.000000000000000000e+00,8.040000000000000000e+02,1.000000000000000000e+01,6.500000000000000000e+02,1.000000000000000000e+01,9.705314040184020996e-02,6.699708104133605957e-02,3.170000016689300537e-01,0.000000000000000000e+00,9.394770264625549316e-01,8.231595611572265625e+01
9.508525729179382324e-01,9.508503675460815430e-01,4.617160558700561523e-01,9.395067691802978516e-01,8.064274787902832031e+00,1.230000019073486328e+01,0.000000000000000000e+00,8.060000000000000000e+02,1.000000000000000000e+01,6.340000000000000000e+02,1.000000000000000000e+01,9.986737370491027832e-02,7.679588347673416138e-02,3.310000002384185791e-01,0.000000000000000000e+00,9.304571151733398438e-01,9.346906280517578125e+01
9.508525729179382324e-01,9.491099715232849121e-01,4.669978320598602295e-01,9.412943124771118164e-01,7.813988208770751953e+00,1.289999961853027344e+01,0.000000000000000000e+00,7.870000000000000000e+02,1.000000000000000000e+01,6.080000000000000000e+02,1.000000000000000000e+01,1.050366088747978210e-01,7.128709554672241211e-02,3.280000090599060059e-01,0.000000000000000000e+00,9.295573234558105469e-01,1.042327957153320312e+02
9.508525729179382324e-01,9.508099555969238281e-01,4.678396284580230713e-01,9.425535202026367188e-01,7.914328098297119141e+00,1.250000000000000000e+01,0.000000000000000000e+00,7.980000000000000000e+02,1.000000000000000000e+01,6.190000000000000000e+02,1.000000000000000000e+01,1.074052378535270691e-01,6.944051384925842285e-02,3.230000138282775879e-01,0.000000000000000000e+00,9.394770264625549316e-01,1.158381805419921875e+02
9.542029500007629395e-01,9.542029500007629395e-01,4.640633463859558105e-01,9.421910047531127930e-01,7.796460151672363281e+00,1.410000038146972656e+01,0.000000000000000000e+00,7.850000000000000000e+02,1.000000000000000000e+01,6.060000000000000000e+02,9.000000000000000000e+00,1.112062335014343262e-01,8.099532127380371094e-02,3.219999969005584717e-01,0.000000000000000000e+00,9.364841580390930176e-01,1.265839385986328125e+02
9.542029500007629395e-01,9.532429575920104980e-01,4.639850556850433350e-01,9.426651597023010254e-01,7.912782192230224609e+00,1.519999980926513672e+01,0.000000000000000000e+00,7.850000000000000000e+02,1.000000000000000000e+01,6.030000000000000000e+02,1.000000000000000000e+01,1.151434406638145447e-01,8.025182783603668213e-02,3.350000083446502686e-01,0.000000000000000000e+00,9.343313574790954590e-01,1.374634857177734375e+02
9.542029500007629395e-01,9.494767785072326660e-01,4.672837853431701660e-01,9.366821050643920898e-01,8.223403930664062500e+00,1.580000019073486328e+01,0.000000000000000000e+00,8.190000000000000000e+02,1.000000000000000000e+01,6.350000000000000000e+02,1.000000000000000000e+01,1.191575154662132263e-01,8.268095552921295166e-02,3.409999907016754150e-01,0.000000000000000000e+00,9.262894988059997559e-01,1.491098022460937500e+02
9.542029500007629395e-01,9.494243264198303223e-01,4.625102579593658447e-01,9.401407837867736816e-01,8.106623649597167969e+00,1.289999961853027344e+01,0.000000000000000000e+00,7.980000000000000000e+02,1.000000000000000000e+01,6.430000000000000000e+02,1.000000000000000000e+01,1.244815289974212646e-01,8.653775602579116821e-02,3.810000121593475342e-01,0.000000000000000000e+00,9.344652891159057617e-01,1.606872253417968750e+02
9.542029500007629395e-01,9.528775215148925781e-01,4.609942436218261719e-01,9.373614788055419922e-01,8.108414649963378906e+00,1.480000019073486328e+01,0.000000000000000000e+00,8.130000000000000000e+02,1.000000000000000000e+01,6.180000000000000000e+02,1.000000000000000000e+01,1.291408836841583252e-01,8.810055255889892578e-02,3.819999992847442627e-01,0.000000000000000000e+00,9.293418526649475098e-01,1.723844604492187500e+02
9.542029500007629395e-01,9.522830247879028320e-01,4.606057405471801758e-01,9.371516108512878418e-01,8.056910514831542969e+00,1.489999961853027344e+01,0.000000000000000000e+00,8.160000000000000000e+02,1.000000000000000000e+01,6.540000000000000000e+02,1.000000000000000000e+01,1.350949555635452271e-01,9.294224530458450317e-02,3.849999904632568359e-01,0.000000000000000000e+00,9.226289391517639160e-01,1.838939971923828125e+02
9.542029500007629395e-01,9.527635574340820312e-01,4.600887596607208252e-01,9.401618838310241699e-01,7.977742671966552734e+00,1.410000038146972656e+01,0.000000000000000000e+00,7.970000000000000000e+02,1.000000000000000000e+01,6.350000000000000000e+02,1.000000000000000000e+01,1.419048011302947998e-01,9.636498242616653442e-02,3.709999918937683105e-01,0.000000000000000000e+00,9.326875209808349609e-01,1.954634399414062500e+02
9.551625847816467285e-01,9.551625847816467285e-01,4.611336886882781982e-01,9.461559057235717773e-01,7.993174076080322266e+00,1.460000038146972656e+01,0.000000000000000000e+00,7.980000000000000000e+02,1.000000000000000000e+01,6.370000000000000000e+02,1.000000000000000000e+01,1.496181935071945190e-01,9.684842824935913086e-02,4.140000045299530029e-01,0.000000000000000000e+00,9.364385008811950684e-01,2.074681854248046875e+02
9.551625847816467285e-01,9.494767785072326660e-01,4.697746932506561279e-01,9.385915994644165039e-01,8.654189109802246094e+00,1.350000000000000000e+01,0.000000000000000000e+00,8.250000000000000000e+02,1.000000000000000000e+01,6.570000000000000000e+02,1.000000000000000000e+01,1.602146327495574951e-01,1.053619235754013062e-01,4.390000104904174805e-01,0.000000000000000000e+00,9.257652759552001953e-01,2.190875549316406250e+02
