r,count_on_policy,count_off_policy,expression,traversal,nmse_test,success
,1,0,"inf * n3_t(n3_t(mul_t(u1,diff2_t(div_t(u1,u1),x1))))","n3_t,n3_t,mul_t,u1,diff2_t,div_t,u1,u1,x1",,False
0.9589400868401127,1,0,"0.08753681182861328 * x1 + 5.106207847595215 * u1 + 0.011918733827769756 * n2_t(diff_t(u1,x1)) + -11.414657592773438 * n2_t(u1) + 0.14843590557575226 * n3_t(add_t(u1,u1)) + 5.106207847595215 * u1","sub_t,add_t,x1,u1,add_t,sub_t,n2_t,diff_t,u1,x1,n2_t,u1,sub_t,n3_t,add_t,u1,u1,u1",0.0010022295,False
0.9553890913725643,1,0,"0.08854711800813675 * x1 + 0.004129773937165737 * diff2_t(u1,x1) + 10.09441089630127 * u1 + -10.379942893981934 * n2_t(u1) + 0.25412294268608093 * n3_t(u1)","add_t,x1,sub_t,add_t,sub_t,diff2_t,u1,x1,u1,n2_t,u1,n3_t,u1",0.0012888354,False
0.9551628882121855,1,0,"0.004715622868388891 * diff2_t(u1,x1) + 4.99215841293335 * u1 + 0.08812268078327179 * x1 + 4.99215841293335 * u1 + -10.020086288452148 * mul_t(add_t(u1,sub_t(u1,u1)),u1)","sub_t,sub_t,diff2_t,u1,x1,add_t,u1,add_t,x1,u1,mul_t,add_t,u1,sub_t,u1,u1,u1",0.0013042152,False
0.9551626012854109,1,0,"-9.65787410736084 * n2_t(u1) + 0.014956014230847359 * n2_t(diff_t(u1,x1)) + 9.64840030670166 * u1 + -0.4484414756298065 * mul_t(n2_t(x1),n3_t(u1)) + 0.08522240072488785 * x1","sub_t,n2_t,u1,sub_t,n2_t,diff_t,u1,x1,add_t,u1,add_t,mul_t,n2_t,x1,n3_t,u1,x1",0.0013042347,False
0.9542029289228278,1,0,"0.08812268078327179 * x1 + -10.020086288452148 * n2_t(u1) + 0.004715622868388891 * diff2_t(u1,x1) + 3.3281056880950928 * u1 + 3.3281056880950928 * u1 + 3.3281056880950928 * u1","sub_t,sub_t,sub_t,x1,n2_t,u1,diff2_t,u1,x1,add_t,u1,sub_t,u1,u1",0.0013042148,False
0.9541785679119491,1,0,"0.008032277226448059 * diff2_t(u1,x1) + 4.087181568145752 * u1 + 0.07979874312877655 * x1 + 7.7739152908325195 * n2_t(n2_t(u1)) + -7.968957424163818 * n3_t(u1) + -7.968957424163818 * n3_t(u1) + 4.087181568145752 * u1","add_t,diff2_t,u1,x1,sub_t,add_t,u1,sub_t,add_t,add_t,x1,n2_t,n2_t,u1,n3_t,u1,n3_t,u1,u1",0.0012411155,False
0.953242966217674,1,0,"2.496079206466675 * u1 + 0.004715622868388891 * diff2_t(u1,x1) + 2.496079206466675 * u1 + 0.08812268078327179 * x1 + 2.496079206466675 * u1 + 2.496079206466675 * u1 + -10.020086288452148 * mul_t(u1,u1)","sub_t,add_t,sub_t,add_t,u1,diff2_t,u1,x1,u1,x1,sub_t,add_t,u1,u1,mul_t,u1,u1",0.0013042149,False
0.953242966217674,1,0,"3.3281056880950928 * u1 + 0.044061340391635895 * x1 + 3.3281056880950928 * u1 + 3.3281056880950928 * u1 + 0.044061340391635895 * x1 + 0.004715622868388891 * diff2_t(u1,x1) + -10.020086288452148 * mul_t(u1,u1)","sub_t,sub_t,u1,add_t,sub_t,x1,add_t,u1,u1,add_t,x1,diff2_t,u1,x1,mul_t,u1,u1",0.0013042149,False
0.9528775327954868,1,0,"0.2981484532356262 * n3_t(n3_t(u1)) + -0.3909393548965454 * div_t(sub_t(u1,sub_t(u1,n3_t(add_t(u1,add_t(u1,u1))))),u1) + 10.259592056274414 * u1 + 0.08865388482809067 * x1","add_t,sub_t,n3_t,n3_t,u1,div_t,sub_t,u1,sub_t,u1,n3_t,add_t,u1,add_t,u1,u1,u1,add_t,u1,x1",0.0015355411,False
