r,count_on_policy,count_off_policy,expression,traversal,nmse_test,success
,1,0,"-inf * n3_t(diff2_t(div_t(n2_t(n2_t(n3_t(n3_t(n2_t(mul_t(x1,u1)))))),x1),x1))","n3_t,diff2_t,div_t,n2_t,n2_t,n3_t,n3_t,n2_t,mul_t,x1,u1,x1,x1",,False
,1,0,"inf * diff_t(n3_t(n2_t(mul_t(n2_t(n3_t(n3_t(mul_t(n2_t(x1),u1)))),x1))),x1)","diff_t,n3_t,n2_t,mul_t,n2_t,n3_t,n3_t,mul_t,n2_t,x1,u1,x1,x1",,False
0.872408836383108,1,0,"0.4191044569015503 * n3_t(n2_t(n3_t(u1))) + 3.4736154079437256 * u1 + -10.760127067565918 * mul_t(u1,u1) + 3.4736154079437256 * u1 + 0.08663264662027359 * x1 + 3.4736154079437256 * u1","sub_t,n3_t,n2_t,n3_t,u1,sub_t,sub_t,u1,mul_t,u1,u1,sub_t,u1,sub_t,x1,u1",0.0147184655,False
0.8702602326238601,1,0,"0.005861119832843542 * diff2_t(n2_t(u1),x1) + 0.08550625294446945 * x1 + -9.856407165527344 * n2_t(u1) + 9.843327522277832 * u1","sub_t,sub_t,diff2_t,n2_t,u1,x1,x1,sub_t,n2_t,u1,u1",0.015817787,False
0.8679791877189491,1,0,"3.4890334606170654 * u1 + 0.5125910639762878 * n3_t(n2_t(n2_t(u1))) + -10.845012664794922 * mul_t(u1,u1) + 0.06267519295215607 * n3_t(sub_t(x1,n3_t(u1))) + 3.4890334606170654 * u1 + 3.4890334606170654 * u1","sub_t,add_t,u1,n3_t,n2_t,n2_t,u1,add_t,mul_t,u1,u1,sub_t,sub_t,n3_t,sub_t,x1,n3_t,u1,u1,u1",0.015972193,False
0.866656669976598,1,0,"-10.743314743041992 * n2_t(u1) + 10.40536880493164 * u1 + 0.4193078577518463 * n3_t(n3_t(n2_t(u1))) + 2.165750447602477e-05 * diff3_t(n3_t(u1),x1)","sub_t,add_t,n2_t,u1,u1,sub_t,n3_t,n3_t,n2_t,u1,diff3_t,n3_t,u1,x1",0.016876897,False
0.8665912396848374,1,0,"-11.329747200012207 * n2_t(u1) + 0.7186213135719299 * n3_t(n2_t(add_t(sub_t(u1,u1),u1))) + 2.6594457626342773 * u1 + 2.6594457626342773 * u1 + 2.6594457626342773 * u1 + 2.6594457626342773 * u1 + 0.08842162042856216 * x1","sub_t,n2_t,u1,sub_t,n3_t,n2_t,add_t,sub_t,u1,u1,u1,sub_t,u1,sub_t,u1,sub_t,u1,sub_t,u1,x1",0.016122203,False
0.8658526378451317,1,0,"10.157790184020996 * u1 + -10.250724792480469 * n2_t(u1) + -0.01082612480968237 * diff2_t(n3_t(n3_t(n2_t(u1))),x1)","sub_t,u1,sub_t,n2_t,u1,diff2_t,n3_t,n3_t,n2_t,u1,x1",0.017383203,False
0.8656508243911382,1,0,"0.14341770112514496 * diff_t(mul_t(n3_t(n3_t(u1)),x1),x1) + -10.30290699005127 * n2_t(u1) + 5.100964546203613 * u1 + 5.100964546203613 * u1","sub_t,diff_t,mul_t,n3_t,n3_t,u1,x1,x1,add_t,n2_t,u1,sub_t,u1,u1",0.01718026,False
0.8651617499362722,1,0,-12.04977035522461 * n3_t(u1) + 1.3630690574645996 * u1 + 3.9640793800354004 * n2_t(n3_t(u1)) + 1.3630690574645996 * u1 + 1.3630690574645996 * u1 + 1.3630690574645996 * u1 + 1.3630690574645996 * u1 + 1.3630690574645996 * u1 + 0.07639187574386597 * x1,"add_t,sub_t,n3_t,u1,u1,sub_t,n2_t,n3_t,u1,sub_t,u1,add_t,u1,sub_t,u1,add_t,u1,sub_t,u1,x1",0.016029848,False
