r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
5.371195077896118164e-01,5.371195077896118164e-01,4.998960494995117188e-01,5.170752406120300293e-01,4.904761791229248047e+00,5.099999904632568359e+00,0.000000000000000000e+00,4.410000000000000000e+02,7.000000000000000000e+00,4.410000000000000000e+02,7.000000000000000000e+00,7.673913240432739258e-01,6.839386224746704102e-01,8.320000171661376953e-01,0.000000000000000000e+00,5.117916464805603027e-01,1.041505241394042969e+01
5.408786535263061523e-01,5.408786535263061523e-01,4.996371269226074219e-01,5.145422220230102539e-01,4.394366264343261719e+00,4.699999809265136719e+00,0.000000000000000000e+00,4.510000000000000000e+02,8.000000000000000000e+00,4.270000000000000000e+02,6.000000000000000000e+00,7.672822475433349609e-01,6.848929524421691895e-01,8.579999804496765137e-01,0.000000000000000000e+00,5.081285238265991211e-01,1.744112777709960938e+01
5.408786535263061523e-01,5.240248441696166992e-01,4.984838366508483887e-01,5.139968991279602051e-01,4.349397659301757812e+00,4.500000000000000000e+00,0.000000000000000000e+00,4.340000000000000000e+02,5.000000000000000000e+00,3.990000000000000000e+02,1.000000000000000000e+00,7.673646807670593262e-01,6.730640530586242676e-01,8.339999914169311523e-01,0.000000000000000000e+00,5.081285238265991211e-01,2.424058151245117188e+01
5.408786535263061523e-01,5.273523330688476562e-01,4.995146393775939941e-01,5.156657695770263672e-01,4.720429897308349609e+00,6.099999904632568359e+00,0.000000000000000000e+00,4.440000000000000000e+02,9.000000000000000000e+00,3.940000000000000000e+02,4.000000000000000000e+00,7.669890522956848145e-01,6.891223788261413574e-01,8.140000104904174805e-01,0.000000000000000000e+00,5.099011659622192383e-01,3.198033905029296875e+01
5.408786535263061523e-01,5.371195077896118164e-01,4.991072714328765869e-01,5.139136314392089844e-01,4.407407283782958984e+00,4.400000095367431641e+00,0.000000000000000000e+00,4.380000000000000000e+02,7.000000000000000000e+00,3.900000000000000000e+02,2.000000000000000000e+00,7.666522264480590820e-01,6.758902072906494141e-01,8.379999995231628418e-01,0.000000000000000000e+00,5.081285238265991211e-01,4.087353515625000000e+01
5.408786535263061523e-01,5.213373899459838867e-01,4.977963566780090332e-01,5.078269839286804199e-01,4.135416507720947266e+00,6.900000095367431641e+00,0.000000000000000000e+00,4.240000000000000000e+02,1.000000000000000000e+01,3.820000000000000000e+02,6.000000000000000000e+00,7.670083642005920410e-01,6.813561320304870605e-01,8.080000281333923340e-01,0.000000000000000000e+00,4.996107220649719238e-01,4.832347869873046875e+01
5.408786535263061523e-01,5.371195077896118164e-01,4.998129010200500488e-01,5.179198384284973145e-01,5.218750000000000000e+00,4.699999809265136719e+00,0.000000000000000000e+00,4.380000000000000000e+02,5.000000000000000000e+00,3.880000000000000000e+02,1.000000000000000000e+00,7.668634057044982910e-01,6.666131615638732910e-01,8.080000281333923340e-01,0.000000000000000000e+00,5.117916464805603027e-01,5.476148605346679688e+01
5.408786535263061523e-01,5.371195077896118164e-01,4.994128644466400146e-01,5.146539211273193359e-01,4.238636493682861328e+00,4.909090995788574219e+00,0.000000000000000000e+00,4.330000000000000000e+02,7.000000000000000000e+00,3.750000000000000000e+02,2.000000000000000000e+00,7.661319375038146973e-01,6.814901232719421387e-01,8.240000009536743164e-01,0.000000000000000000e+00,5.081285238265991211e-01,6.144527435302734375e+01
5.408786535263061523e-01,5.213255882263183594e-01,4.986642897129058838e-01,5.127872228622436523e-01,4.325581550598144531e+00,5.900000095367431641e+00,0.000000000000000000e+00,4.330000000000000000e+02,1.000000000000000000e+01,3.680000000000000000e+02,5.000000000000000000e+00,7.672288417816162109e-01,6.784083247184753418e-01,8.280000090599060059e-01,0.000000000000000000e+00,5.043588280677795410e-01,6.777650451660156250e+01
5.408786535263061523e-01,5.371195077896118164e-01,5.007211565971374512e-01,5.169184803962707520e-01,4.742856979370117188e+00,5.300000190734863281e+00,0.000000000000000000e+00,4.390000000000000000e+02,8.000000000000000000e+00,3.760000000000000000e+02,3.000000000000000000e+00,7.662986516952514648e-01,6.851514577865600586e-01,8.600000143051147461e-01,0.000000000000000000e+00,5.117916464805603027e-01,7.578309631347656250e+01
